,left sensor,right sensor,left motor,right motor
730,116,237,33,57
731,146,225,38,52
732,123,220,36,54
733,145,210,39,51
734,161,195,42,48
735,144,210,39,51
736,139,201,39,51
737,146,212,39,51
738,147,224,38,52
739,149,212,39,51
740,149,205,40,50
741,144,189,41,49
742,134,194,39,51
743,139,165,43,47
744,115,162,41,49
745,138,167,43,47
746,130,168,42,48
747,132,160,43,47
748,123,160,42,48
749,141,161,43,47
750,132,174,41,49
751,131,137,45,45
752,131,160,43,47
753,141,153,44,46
754,139,185,41,49
755,140,192,40,50
756,150,195,41,49
757,140,191,40,50
758,143,175,42,48
759,153,167,44,46
760,140,171,42,48
761,145,159,44,46
762,137,135,45,45
763,127,150,43,47
764,111,147,42,48
765,129,151,43,47
766,131,145,44,46
767,140,135,45,45
768,138,127,46,44
769,149,131,46,44
770,147,128,46,44
771,142,133,45,45
772,169,135,48,42
773,141,130,46,44
774,149,133,46,44
775,138,126,46,44
776,136,134,45,45
777,144,127,46,44
778,132,132,45,45
779,146,137,45,45
780,136,127,45,45
781,139,131,45,45
782,137,147,44,46
783,148,172,43,47
784,130,145,44,46
785,150,165,44,46
786,152,162,44,46
787,146,163,44,46
788,149,178,43,47
789,148,182,42,48
790,149,179,42,48
791,146,180,42,48
792,153,180,43,47
793,156,157,45,45
794,150,180,42,48
795,156,153,45,45
796,146,156,44,46
797,152,157,45,45
798,143,148,45,45
799,138,145,45,45
800,147,152,45,45
801,131,149,44,46
802,139,138,45,45
803,138,143,45,45
804,182,101,53,37
805,142,134,45,45
806,128,141,44,46
807,98,142,41,49
808,211,251,-45,45
809,432,490,-45,45
810,456,501,-45,45
811,483,455,-45,45
812,458,455,-45,45
813,457,460,-45,45
814,425,473,-45,45
815,438,423,-45,45
816,397,444,-45,45
817,383,422,-45,45
818,356,416,-45,45
819,374,411,-45,45
820,363,388,-45,45
821,353,384,-45,45
822,330,391,-45,45
823,340,376,-45,45
824,353,361,-45,45
825,367,367,-45,45
826,353,387,-45,45
827,375,412,-45,45
828,391,391,-45,45
829,397,406,-45,45
830,413,418,-45,45
831,410,430,-45,45
832,404,435,-45,45
833,392,452,-45,45
834,394,444,-45,45
835,387,397,-45,45
836,396,414,-45,45
837,427,429,-45,45
838,437,443,-45,45
839,448,497,-45,45
840,435,499,-45,45
841,464,515,-45,45
842,456,487,-45,45
843,474,512,-45,45
844,477,494,-45,45
845,508,509,-45,45
846,501,514,-45,45
847,499,522,-45,45
848,498,580,-45,45
849,518,541,-45,45
850,532,510,-45,45
851,481,535,-45,45
852,482,543,-45,45
853,498,508,-45,45
854,516,501,-45,45
855,564,548,-45,45
856,509,563,-45,45
857,481,617,-45,45
858,480,533,-45,45
859,508,544,-45,45
860,484,554,-45,45
861,535,555,-45,45
862,504,528,-45,45
863,477,574,-45,45
864,449,490,-45,45
865,441,483,-45,45
866,414,443,-45,45
867,412,449,-45,45
868,385,410,-45,45
869,403,427,-45,45
870,403,427,-45,45
871,393,412,-45,45
872,424,429,-45,45
873,391,420,-45,45
874,369,416,-45,45
875,400,405,-45,45
876,379,389,-45,45
877,367,390,-45,45
878,341,377,-45,45
879,336,368,-45,45
880,334,362,-45,45
881,99,119,43,47
882,29,151,33,57
883,37,141,35,55
884,204,370,-45,45
885,355,397,-45,45
886,367,399,-45,45
887,364,378,-45,45
888,335,355,-45,45
889,344,371,-45,45
890,355,362,-45,45
891,349,356,-45,45
892,346,385,-45,45
893,363,378,-45,45
894,347,374,-45,45
895,205,356,-45,45
896,139,281,31,59
897,104,127,43,47
898,166,108,50,40
899,237,133,55,35
900,271,159,56,34
901,328,237,45,-45
902,332,304,45,-45
903,358,346,45,-45
904,359,341,45,-45
905,336,319,45,-45
906,339,256,45,-45
907,313,172,59,31
908,251,128,57,33
909,188,99,53,37
910,129,141,44,46
911,112,222,34,56
912,126,255,33,57
913,148,292,31,59
914,174,309,32,58
915,188,311,33,57
916,212,341,-45,45
917,193,346,30,60
918,190,369,28,62
919,155,339,27,63
920,131,284,30,60
921,116,227,34,56
922,120,143,43,47
923,150,107,49,41
924,203,93,56,34
925,193,96,54,36
926,188,95,54,36
927,196,98,54,36
928,205,97,55,35
929,180,91,53,37
930,190,97,54,36
931,183,90,54,36
932,170,90,53,37
933,193,108,53,37
934,190,108,53,37
935,190,109,53,37
936,176,127,49,41
937,177,112,51,39
938,164,116,49,41
939,141,108,48,42
940,156,112,49,41
941,167,104,51,39
942,173,108,51,39
943,178,111,51,39
944,178,104,52,38
945,165,111,50,40
946,167,105,51,39
947,187,107,53,37
948,164,110,50,40
949,167,106,51,39
950,182,126,50,40
951,185,116,51,39
952,199,115,53,37
953,198,107,54,36
954,177,110,51,39
955,190,112,52,38
956,171,108,51,39
957,191,114,52,38
958,171,122,49,41
959,196,127,51,39
960,180,118,51,39
961,177,128,49,41
962,187,131,50,40
963,193,130,51,39
964,209,126,53,37
965,197,118,52,38
966,202,122,53,37
967,205,114,54,36
968,195,129,51,39
969,187,107,53,37
970,174,116,50,40
971,148,117,48,42
972,140,120,47,43
973,123,124,45,45
974,134,138,45,45
975,145,137,45,45
976,140,141,45,45
977,142,143,45,45
978,157,135,47,43
